# magnitude, photon_noise, read_noise, dark_noise
7.0000e+00,1.4804e+05,3.1405e+03,5.3776e+03
8.0000e+00,9.3410e+04,1.9815e+03,5.3776e+03
9.0000e+00,5.8938e+04,1.2503e+03,5.3776e+03
1.0000e+01,3.7187e+04,7.8886e+02,5.3776e+03
1.1000e+01,2.3464e+04,4.9774e+02,5.3776e+03
1.2000e+01,1.4804e+04,3.1405e+02,5.3776e+03
1.3000e+01,9.3410e+03,1.9815e+02,5.3776e+03
1.4000e+01,5.8938e+03,1.2503e+02,5.3776e+03
1.5000e+01,3.7187e+03,7.8886e+01,5.3776e+03
1.6000e+01,2.3464e+03,4.9774e+01,5.3776e+03
