magnitude,amplitude_tfac1,amplitude_err_tfac1,width_tfac1,width_err_tfac1,amplitude_tfac2,amplitude_err_tfac2,width_tfac2,width_err_tfac2,amplitude_tfac3,amplitude_err_tfac3,width_tfac3,width_err_tfac3,amplitude_tfac4,amplitude_err_tfac4,width_tfac4,width_err_tfac4
7,0.00045012993900258355,2.4143461447505853e-05,0.6633318794945786,0.1511044588510389,0.0004501556785192787,1.697768813609339e-05,0.6631412038193074,0.1062491919255195,0.0004501643812205626,1.3836953571000115e-05,0.6630785840560787,0.08657973208029753,0.0004501688290561543,1.1971931893316513e-05,0.6630298367216547,0.07490596523488906
8,0.00045006104319116053,3.890249209324154e-05,0.6637955014394098,0.24349706753397168,0.00045011779038654445,2.7134221434718877e-05,0.6634054379127385,0.16982275193862154,0.0004501396286489286,2.2052320104870838e-05,0.663247545251027,0.1380087522834864,0.0004501491586392138,1.9054604531282476e-05,0.6631945772477036,0.1192344420748517
9,0.00044990233044535155,6.410708662169777e-05,0.6649128940987786,0.40156602362834404,0.0004500320386697004,4.3896535210342456e-05,0.664007018994518,0.2747797169080207,0.0004500806821950222,3.5442924278087935e-05,0.6636512658607293,0.22183270371284394,0.00045010237894628925,3.051707962675958e-05,0.6635221837245513,0.19100294855630412
10,0.0004495932187039881,0.0001107877163754876,0.6670686989022084,0.6946660936143992,0.000449841654963959,7.298871794601958e-05,0.66532615835698,0.4572026193334763,0.0004499422633852868,5.80687653799374e-05,0.6646196705817565,0.3635998047302139,0.00044999744247795423,4.961062807463405e-05,0.6642349301327122,0.31059204734979573
11,0.0004491217868465775,0.0002076704542446775,0.6704702292414418,1.304459889128414,0.0004494906552755694,0.00012828578692526755,0.6677871461224795,0.8046279218024264,0.0004496662624009716,9.917938871973494e-05,0.6665518807037212,0.6216575993270858,0.0004497719733482574,8.337495571259978e-05,0.6658130894428529,0.5224130991634243
12,0.00044862955231061736,0.0004311355361506349,0.6740488615766085,2.713673968458713,0.0004489969407892009,0.0002464317540837422,0.671343751010713,1.5487677753413343,0.00044922146830827,0.0001825714430005853,0.6697267020041038,1.1462685804998487,0.0004493741965093333,0.00014936048404997035,0.6686480176321913,0.9373049068850432
13,0.0004482779857831028,0.0009777654749868617,0.6767102294433072,6.164054923653311,0.0004485242392862448,0.0005242115667180905,0.6748549964374412,3.3014618040203128,0.0004487170291444707,0.0003715983644824064,0.6734129157208035,2.337987593507162,0.00044886988578005273,0.0002943304481324559,0.6722922305329893,1.8506782795054735
14,0.000448089061921706,0.0023423611396674033,0.6781233092198546,14.781465021474666,0.00044821669519374706,0.0012090717055492474,0.6771613821896327,7.624618980769129,0.00044832899089914443,0.0008304580519046347,0.6763346298848709,5.234944770096178,0.0004484338681734629,0.0006407060861077135,0.6755207018930462,4.036254080050758
15,0.00044800111825249776,0.0057662129558973055,0.6788121657576992,36.40478416449788,0.00044805925512776164,0.0029224202156407876,0.6783444403190442,18.44170443589936,0.0004481136504654569,0.0019736795383938897,0.6779553433015076,12.4537671939455,0.0004481641300496502,0.0014992130620835585,0.677575119091764,9.45837292426473
16,0.00044796702819955555,0.014366576787018429,0.6790638441122161,90.70094483439952,0.00044799023377343914,0.007222030456662109,0.6788889167324532,45.59475677444012,0.0004480136923546599,0.004840793126763567,0.6787191929469766,30.560954223923122,0.000448036886426028,0.0036501084836617578,0.6785369942134937,23.040067012909287
