magnitude,amplitude_tfac0,amplitude_tfac1,amplitude_tfac2,amplitude_tfac3
7,12.23430195830444,17.330908419207415,21.236858660695738,24.529387518791534
8,7.680600994442735,10.907451733389482,13.377715909974764,15.458381657297332
9,4.786425193085231,6.8389293647685045,8.405122509764535,9.722790079977361
10,2.9310131102075965,4.248731740622741,5.247995642684737,6.086321603143355
11,1.7275914156828935,2.5835890100738372,3.228443110715208,3.766799982977178
12,0.9487967712596855,1.50148617562267,1.9213559231497324,2.27132477843825
13,0.4720360541525216,0.8061393385121923,1.0726540307139727,1.29852031865287
14,0.21326200736309422,0.39092857380004253,0.5444453041049349,0.6805563654895961
15,0.09023077384670768,0.17320266639648021,0.2501328214003599,0.321947657453589
16,0.036885120126214435,0.07248200196572663,0.10688226432686221,0.14018153618578344
