magnitude,amplitude_tfac0,amplitude_tfac1,amplitude_tfac2,amplitude_tfac3
7,7.318864368847215,10.461096225877647,12.857855800791029,14.874299603775095
8,4.477853358034369,6.495913357604038,8.02611990412772,9.308888126794287
9,2.634483458763795,3.9457403541825085,4.93344100678152,5.757984390845313
10,1.4424887818973258,2.288112896842305,2.931264802526732,3.467205039870073
11,0.7150240383707541,1.2244573737005342,1.6318254772775507,1.9774389422057241
12,0.3221312640602889,0.5916994533755234,0.8252990906988943,1.0327114338992582
13,0.13606585076807126,0.26148220106690656,0.3779702262827381,0.48690171003504107
14,0.055579175305271636,0.1092708512459049,0.16120855620377086,0.2115273363727683
15,0.02236209084633627,0.04441011628456254,0.06615518928371776,0.08760479045300168
16,0.008940763431055378,0.017830527868054096,0.02667082757696781,0.0354608257951344
