magnitude,amplitude_tfac1,amplitude_err_tfac1,width_tfac1,width_err_tfac1,amplitude_tfac2,amplitude_err_tfac2,width_tfac2,width_err_tfac2,amplitude_tfac3,amplitude_err_tfac3,width_tfac3,width_err_tfac3,amplitude_tfac4,amplitude_err_tfac4,width_tfac4,width_err_tfac4
7,11.931393595786057,4.1732159289271985e-05,8.807061448224388,0.12407166466596718,16.982246293516734,2.931999609828985e-05,12.535175644479358,0.08717040704740484,20.843565890325955,2.3888341425028968e-05,15.385718077825357,0.07101993797780065,24.094211007406635,2.066544672242686e-05,17.78482341211765,0.061439515899069756
8,7.387901092726747,6.739836684591705e-05,5.453143051833065,0.20038657602648388,10.612291888224956,4.6919599578711315e-05,7.833291786611974,0.13949589732006085,13.066531448741033,3.8106648531887736e-05,9.645012404325524,0.11329208071976797,15.128083699638973,3.291363866953887e-05,11.166737478962935,0.09785302905073821
9,4.459063120926047,0.00011167217824178567,3.2912488506904443,0.3320322060442479,6.5410517072965355,7.612481218178426e-05,4.828025040551303,0.2263344858468583,8.114552351442432,6.136258769766339e-05,5.9895888877818155,0.18243804011196385,9.431244070791754,5.279543129705533e-05,6.961552152281912,0.15696479067253363
10,2.554496207940494,0.00019494653403456238,1.8853229675846315,0.579696129509394,3.9089935799919657,0.00012738851206670263,2.8851718089604486,0.3787725839334869,4.92993311669242,0.00010100504485974939,3.6388756698298623,0.30030838240810437,5.780800751155186,8.613702471846365e-05,4.266905541931749,0.25610195929343454
11,1.3430526488193526,0.0003708253681573039,0.9910895194125852,1.1028895013794249,2.1988775231953723,0.00022647990440610784,1.6227832841282124,0.6735030639558981,2.8604365277772423,0.00017409295934526418,2.1111210877545687,0.5176816473459779,3.414208194047239,0.00014585212565264288,2.5199084109555563,0.4336867306679321
12,0.6375365073707466,0.0007812570266216526,0.47038012195088136,2.3240602250082674,1.1274107012117274,0.0004417639947370184,0.8319191628050121,1.313946901029403,1.532365563163086,0.00032500639430170145,1.1308127786906679,0.9665906871812512,1.8817993967316768,0.0002646474394546551,1.3887520382641216,0.7870274832666845
13,0.27828001875444486,0.0017899440238583262,0.20529236072018647,5.325438843184216,0.5227047775882179,0.0009529044055162856,0.38564735635576586,2.83475527001179,0.7415520016887657,0.0006716628334601391,0.5471468944425829,1.9979464436077468,0.9404313229876097,0.0005296085313326477,0.6939212766943139,1.5752963459953666
14,0.11553878482112019,0.004311264157163672,0.08522912082941113,12.827902631707087,0.22465777785617416,0.0022171931538153803,0.1657324788359375,6.596681178975923,0.3281197771641991,0.0015180488667442997,0.24206826236530274,4.516328713753256,0.4265626175443951,0.0011676940736076254,0.314703522007219,3.4738649195138622
15,0.04682210118238269,0.010638645255315306,0.03453880967911679,31.655056944098323,0.09254219379612452,0.005382627215975115,0.06826498120363095,16.01577741678726,0.13721944665549682,0.003630072221560603,0.1012238685608401,10.800865562897398,0.18090662038598213,0.002753426479832509,0.13345285461654544,8.19236779755304
16,0.018776011269570406,0.026529915454432732,0.013849596751898566,78.94345213906661,0.03737215203931701,0.013328762268266299,0.027567729373473838,39.65979375319588,0.055791403458618716,0.008928310507309271,0.04115524334608722,26.565890106613598,0.07403780973777589,0.00672793450637453,0.054614964591930104,20.018710637238193
