magnitude,amplitude_tfac0,amplitude_tfac1,amplitude_tfac2,amplitude_tfac3
7,10.190416482993506,14.493145957591588,17.7846742920535,20.555413864573488
8,6.322691451003452,9.06682759514201,11.157049390843508,12.913543444895646
9,3.8335652070814175,5.602541437516256,6.94075838637409,8.061185161349897
10,2.21519180339465,3.366410943087538,4.233674975799274,4.956462500238016
11,1.17910132655302,1.9121039718535013,2.475435358860026,2.945990029480585
12,0.5665613492521493,0.9930041575243218,1.341912160205185,1.6413680697123147
13,0.2493674879526621,0.4656669187941685,0.6576263324663232,0.8308920780479402
14,0.10398196786881034,0.20158738452597597,0.2936525695452934,0.3808494648569813
15,0.04221923216942982,0.08333731243425384,0.1234192724541119,0.16251804399616307
16,0.01694419883019055,0.033707563961481515,0.05029325918362127,0.06670777074366259
