# magnitude, photon_noise, read_noise, dark_noise
7.0000e+00,5.9256e+04,2.0950e+03,5.3776e+03
8.0000e+00,3.7388e+04,1.3219e+03,5.3776e+03
9.0000e+00,2.3590e+04,8.3403e+02,5.3776e+03
1.0000e+01,1.4884e+04,5.2624e+02,5.3776e+03
1.1000e+01,9.3914e+03,3.3203e+02,5.3776e+03
1.2000e+01,5.9256e+03,2.0950e+02,5.3776e+03
1.3000e+01,3.7388e+03,1.3219e+02,5.3776e+03
1.4000e+01,2.3590e+03,8.3403e+01,5.3776e+03
1.5000e+01,1.4884e+03,5.2624e+01,5.3776e+03
1.6000e+01,9.3914e+02,3.3203e+01,5.3776e+03
