magnitude,amplitude_tfac0,amplitude_tfac1,amplitude_tfac2,amplitude_tfac3
7,18.64396867786679,26.514545143651148,32.53348931979002,37.60202054836839
8,11.568951472631975,16.588564793335404,20.412347839513874,23.62416695136293
9,7.017981227259156,10.252108429816767,12.69874569783391,14.749195678331127
10,4.058150428700984,6.163166960908251,7.748438604495294,9.070585476180218
11,2.1626657893155175,3.5038227230692254,4.533868056715457,5.394569262485222
12,1.0405766045549774,1.8219930400553137,2.4605242798394813,3.0086551966381534
13,0.45847189050025144,0.8556168306134521,1.2075323037804047,1.5250541988712305
14,0.19129802588226472,0.37071142525011347,0.5398574797016094,0.6999057413324986
15,0.07769416802310632,0.1533178742501675,0.22704478703270942,0.298932914463009
16,0.031181194716081318,0.06203106404240949,0.09254964643659347,0.12274618369056285
