magnitude,amplitude_tfac1,amplitude_err_tfac1,width_tfac1,width_err_tfac1,amplitude_tfac2,amplitude_err_tfac2,width_tfac2,width_err_tfac2,amplitude_tfac3,amplitude_err_tfac3,width_tfac3,width_err_tfac3,amplitude_tfac4,amplitude_err_tfac4,width_tfac4,width_err_tfac4
7,0.0005027769460960808,4.806159270883676e-05,1.3699055658277057,0.16393852505141632,0.0005027764511912181,3.3801689127171645e-05,1.3699036314599276,0.11527338457516942,0.0005027761094733371,2.7548294401139156e-05,1.3699023263095667,0.09394094427317845,0.0005027762545244874,2.3836000536734286e-05,1.3699030909198389,0.0812778651694137
8,0.0005027788588612163,7.73992556832165e-05,1.3699119296739692,0.26419120654762657,0.0005027773115400094,5.40104580366411e-05,1.369906340044194,0.18425189705891967,0.0005027768981676396,4.390108317517223e-05,1.3699051131177484,0.1497374785711221,0.0005027767293532767,3.793487266121022e-05,1.3699046517432305,0.129372445237186
9,0.0005027831712748905,0.0001274242920576204,1.3699258575167825,0.43560683130929134,0.0005027796354287888,8.731868676618227e-05,1.3699145222848295,0.2981316115942765,0.0005027785017848067,7.052419817661683e-05,1.3699104349980786,0.24067706028578062,0.0005027778228345008,6.073608606770324e-05,1.3699081372125748,0.2072302709404493
10,0.00050279162985885,0.000219740743803649,1.3699541837387852,0.7534346299219871,0.0005027849414564391,0.00014501159743217265,1.3699318734792245,0.4960104916982369,0.0005027821905599326,0.0001154393231080573,1.3699226685712358,0.3944825501884125,0.0005027806358372694,9.866480712313184e-05,1.3699174447144316,0.3369878097230467
11,0.0005028043305621638,0.00041063440946302376,1.3699974851837629,1.414317182569582,0.0005027946600026072,0.0002542655802265973,1.3699646948002289,0.8726908333506542,0.0005027898986713847,0.0001968030199463693,1.3699487043445768,0.6743303450679327,0.000502787033552312,0.0001655654686135817,1.3699390978150388,0.5666995928857941
12,0.0005028176633456972,0.0008497855802928768,1.3700433320461016,2.9409191106115116,0.0005028077778287543,0.0004868811957763252,1.3700092859722115,1.6790291902389618,0.0005028016757744889,0.00036121646514955107,1.3699884331310264,1.242954497380224,0.0005027975110003285,0.00029583205319279543,1.369974255374204,1.0164580202687616
13,0.000502827183373528,0.0019229881855127398,1.3700768965012504,6.677671207424876,0.0005028204670209591,0.0010326939845513633,1.3700535502584468,3.5774694337335013,0.0005028155471350921,0.0007328444374141099,1.370036286409765,2.5340418294818257,0.0005028112055674501,0.0005810224899380356,1.370021524521585,2.006097085007098
14,0.000502832292598757,0.004601705641216019,1.3700943594805375,16.009362760963366,0.0005028288578030241,0.0023771341634865758,1.3700822902565875,8.259559242641624,0.0005028257371090587,0.0016339887527940257,1.37007141729123,5.671253403280183,0.0005028227336234098,0.0012613345208899443,1.3700611863581658,4.373466347839438
15,0.0005028346046392641,0.011322523936152247,1.3701030392259423,39.42343541205127,0.0005028330438077701,0.005739789356354098,1.3700975446901429,19.97423056659401,0.0005028315916774175,0.003878242100210704,1.370091911602014,13.488737758815564,0.0005028302104776056,0.0029468683216238713,1.370087542720573,10.244225391642368
16,0.0005028356517822331,0.02820082812484391,1.3701061575763498,98.22581839874039,0.0005028349604792186,0.014180012709918699,1.3701037592053564,49.378619691685515,0.0005028342972168915,0.009505863114718885,1.370101874401633,33.094544013859235,0.0005028336700169623,0.007168816406235851,1.3700997483513278,24.953100019307673
