magnitude,amplitude_tfac0,amplitude_tfac1,amplitude_tfac2,amplitude_tfac3
7,9.609144819790494,13.617850078435673,16.689932354373187,19.27867028280928
8,6.025035518542318,8.565456775563373,10.507965583338487,12.144758788649433
9,3.743510682652766,5.361920650942105,6.595818968459264,7.632642848026177
10,2.2768508624177404,3.318945693018633,4.107748463233143,4.768989480434852
11,1.3236345561838387,2.0017798775991107,2.51250568137376,2.9382012294063773
12,0.7111355599938892,1.144910981658065,1.4770400488519764,1.7543121767667482
13,0.3450589210208403,0.6003998301271163,0.8077363677031946,0.9849963575626242
14,0.15295223234281877,0.2841938751227127,0.39982367347873365,0.5036447365099997
15,0.06402585227985122,0.12380514981324638,0.17993007998426525,0.2328797736466973
16,0.026040386049860743,0.05134406486430815,0.07595502408325196,0.09990853616583774
