# magnitude, photon_noise, read_noise, dark_noise
7.0000e+00,7.9606e+04,1.6887e+03,5.3776e+03
8.0000e+00,5.0228e+04,1.0655e+03,5.3776e+03
9.0000e+00,3.1692e+04,6.7228e+02,5.3776e+03
1.0000e+01,1.9996e+04,4.2418e+02,5.3776e+03
1.1000e+01,1.2617e+04,2.6764e+02,5.3776e+03
1.2000e+01,7.9606e+03,1.6887e+02,5.3776e+03
1.3000e+01,5.0228e+03,1.0655e+02,5.3776e+03
1.4000e+01,3.1692e+03,6.7228e+01,5.3776e+03
1.5000e+01,1.9996e+03,4.2418e+01,5.3776e+03
1.6000e+01,1.2617e+03,2.6764e+01,5.3776e+03
