magnitude,amplitude_tfac1,amplitude_err_tfac1,width_tfac1,width_err_tfac1,amplitude_tfac2,amplitude_err_tfac2,width_tfac2,width_err_tfac2,amplitude_tfac3,amplitude_err_tfac3,width_tfac3,width_err_tfac3,amplitude_tfac4,amplitude_err_tfac4,width_tfac4,width_err_tfac4
7,0.0004753057679314504,0.00014803948399986467,1.463351214242596,0.5662815437359136,0.00047530991705647285,0.00010039303165545057,1.4633557867742182,0.3838017458409806,0.00047531142935708316,8.07701838524515e-05,1.4633565213951347,0.3087123715306815,0.0004753122405723151,6.942324944392709e-05,1.4633582203915152,0.26531063794835374
8,0.0004752963208571853,0.00026154174759380675,1.4633395357952268,1.0017383757156495,0.00047530389007926864,0.00016927849355650112,1.463348338665571,0.6476894860311876,0.00047530752840999177,0.00013367886904700068,1.4633533173521214,0.5112577240463269,0.00047530878605822206,0.00011375812880745365,1.4633536796680953,0.43495784572006413
9,0.0004752838878916818,0.0005060457024210475,1.4633263405578913,1.9416281813290184,0.0004752940313418508,0.00030503770633120834,1.463338429276734,1.168799544942725,0.00047529906439131123,0.0002329257576890626,1.4633447195942642,0.8918564295079725,0.00047530218458476765,0.00019435582598407105,1.4633481583003718,0.7438515412307138
10,0.0004752722676613792,0.0010839741699698242,1.4633135815183609,4.165728008919086,0.00047528122086918186,0.0006055107413548555,1.4633243615436502,2.3242585519539944,0.0004752863574695309,0.00044199992492807146,1.4633289311279076,1.6952378729307036,0.000475290928014273,0.0003579291724328627,1.4633350657374753,1.3720650076270389
11,0.000475264753539296,0.0025113316917706446,1.4633052218350748,9.66075710378764,0.000475269964591842,0.0013265336638630088,1.463310913153537,5.099367978323166,0.00047527422662409,0.0009292363231983652,1.4633157416130516,3.5701006924222143,0.000475277725537873,0.0007290353605144815,1.4633195406024875,2.7995533710664167
12,0.00047526102869034257,0.006083376514903013,1.463301248251002,23.415010905737102,0.00047526406319368806,0.003116460657673641,1.4633063323394737,11.990783164393305,0.0004752658955276432,0.0021262260086220273,1.4633065549861133,8.17831037759576,0.0004752679768988434,0.0016303326308073358,1.4633078921015426,6.268880975481967
13,0.00047525915390452867,0.01505069455124395,1.463298164604173,57.94175995011591,0.0004752604405896763,0.007601921233647888,1.463300465880937,29.26098099446235,0.00047526150864006284,0.005118128095039573,1.4633016523522224,19.697570631962737,0.0004752625333639971,0.0038760420838917695,1.4633027823242717,14.915183196367138
14,0.00047525867669697265,0.03757363678205528,1.4632986500699448,144.6660319309205,0.00047525914756778624,0.018863486643604623,1.4632991644168523,72.6241974077035,0.00047525958770860255,0.01262655152696297,1.463299603325107,48.6082438571902,0.000475260515668868,0.00950835270291291,1.4633015843214892,36.60218987402945
15,0.00047525888548077453,0.09414455208424395,1.4633006260582793,362.48574482240264,0.00047525858243314983,0.04715074221372239,1.4632985461635508,181.54215871798476,0.0004752587634818283,0.03148464417532283,1.463298755400189,121.22062230709818,0.00047525871547934764,0.02365147277813814,1.4632972497072614,91.06022743447777
16,0.00047525828534312656,0.23625178513044787,1.463298218526955,909.6662665852446,0.00047525835666021514,0.1182033936455931,1.4632983071248173,455.12689500538363,0.00047525842918256166,0.07885209168677905,1.4632976069348154,303.6087987810144,0.0004752585094858354,0.059176323321123325,1.4632984744302995,227.845925264406
