magnitude,amplitude_tfac0,amplitude_tfac1,amplitude_tfac2,amplitude_tfac3
7,16.409299387839802,23.380373000062686,28.710570932056175,33.19241422338834
8,10.126114947554264,14.585465107813391,17.976624010368212,20.8226682069179
9,6.067334870437375,8.953195538790265,11.131523432318026,12.952986163480002
10,3.433704843964184,5.305060719706221,6.720235490903266,7.899769392737046
11,1.7941402197708853,2.9464930205238242,3.854447177683868,4.619381977213045
12,0.8746929185076288,1.5104255107546218,2.0459295323463236,2.515477931869166
13,0.40225084160372176,0.7257716024160744,1.009135644449607,1.2665727470552872
14,0.1743963156415982,0.3288203317760665,0.4694791060814263,0.6000792974952475
15,0.07238509119076614,0.14074244743868938,0.20572390131992635,0.267818412774578
16,0.029345753067933897,0.057984315136000435,0.08596306923360351,0.11332616842404503
