# magnitude, photon_noise, read_noise, dark_noise
7.0000e+00,1.4560e+05,3.0886e+03,5.3776e+03
8.0000e+00,9.1867e+04,1.9488e+03,5.3776e+03
9.0000e+00,5.7964e+04,1.2296e+03,5.3776e+03
1.0000e+01,3.6573e+04,7.7583e+02,5.3776e+03
1.1000e+01,2.3076e+04,4.8952e+02,5.3776e+03
1.2000e+01,1.4560e+04,3.0886e+02,5.3776e+03
1.3000e+01,9.1867e+03,1.9488e+02,5.3776e+03
1.4000e+01,5.7964e+03,1.2296e+02,5.3776e+03
1.5000e+01,3.6573e+03,7.7583e+01,5.3776e+03
1.6000e+01,2.3076e+03,4.8952e+01,5.3776e+03
