# magnitude, photon_noise, read_noise, dark_noise
7.0000e+00,5.7752e+04,1.2251e+03,5.3776e+03
8.0000e+00,3.6439e+04,7.7299e+02,5.3776e+03
9.0000e+00,2.2992e+04,4.8772e+02,5.3776e+03
1.0000e+01,1.4507e+04,3.0773e+02,5.3776e+03
1.1000e+01,9.1531e+03,1.9417e+02,5.3776e+03
1.2000e+01,5.7752e+03,1.2251e+02,5.3776e+03
1.3000e+01,3.6439e+03,7.7299e+01,5.3776e+03
1.4000e+01,2.2992e+03,4.8772e+01,5.3776e+03
1.5000e+01,1.4507e+03,3.0773e+01,5.3776e+03
1.6000e+01,9.1531e+02,1.9417e+01,5.3776e+03
