name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,2017-01-26,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4.0,2.5,2.5,5793.0,70.0,70.0,,,
AD 3116 b,Confirmed,54.2,4.3,4.3,,,,1.02,0.28,0.28,1.982796,6.4e-06,6.4e-06,,,,0.146,0.025,0.025,88.4,0.5,0.5,,2017,2019-04-03,5.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,AD 3116,130.664333382,19.4144163157,,,14.348,13.769,,186.54,4.991,4.991,,,,0.276,0.02,0.02,0.29,0.08,0.08,M3.9,,,,3200.0,200.0,200.0,,,"EPIC 211946007, 2MASS J08423943+1924520"
BD-10 3166 b,Confirmed,,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2015-02-24,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.0,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400.0,,,,,
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,6.4e-06,6.4e-06,0.0254,0.0004,0.0004,0.0,,,83.96,0.18,0.18,5.5e-05,2007,2019-04-12,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,
CoRoT-11 b,Confirmed,2.33,0.27,0.27,,,,1.43,0.033,0.033,2.994325,2.1e-05,2.1e-05,0.04351,0.00036,0.00036,0.0,,,81.41,0.17,0.17,7.8e-05,2010,2014-08-17,,,,,,,,,,2454597.679688,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-11,280.6875,5.9377778,12.94,,,,,560.0,30.0,30.0,0.04,0.03,0.03,1.27,0.05,0.05,1.36,0.13,0.13,F6V,2.0,1.0,1.0,6343.0,72.0,72.0,,,
CoRoT-12 b,Confirmed,0.917,0.065,0.07,,,,1.44,0.13,0.13,2.828042,1.3e-05,1.3e-05,0.04016,0.00092,0.00092,0.07,0.042,0.042,85.48,0.77,0.77,3.5e-05,2010,2014-08-16,105.0,27.0,27.0,,,,,,,2454398.62707,0.00036,0.00036,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150.0,85.0,85.0,0.16,0.1,0.1,1.078,0.072,0.072,1.116,0.092,0.092,G2V,6.3,3.1,3.1,5675.0,80.0,80.0,,,
CoRoT-13 b,Confirmed,1.308,0.066,0.066,,,,0.885,0.014,0.014,4.03519,3e-05,3e-05,0.051,0.0031,0.0031,0.0,,,88.02,0.036,0.036,3.9e-05,2010,2014-08-16,,,,,,,,,,2454790.8091,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-13,102.7208333,-5.0863889,15.04,,,,,1310.0,100.0,100.0,0.01,0.07,0.07,1.09,0.02,0.02,1.01,0.03,0.03,G0V,1.64,1.52,1.52,5945.0,90.0,90.0,,,
CoRoT-14 b,Confirmed,7.6,0.6,0.6,,,,1.09,0.07,0.07,1.51214,0.00013,0.00013,0.027,0.002,0.002,0.0,,,79.6,0.8,0.8,2e-05,2010,2014-01-24,,,,2454787.6702,,,,,,2454787.6694,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-14,103.425,-5.5361111,16.03,,,,,1340.0,110.0,110.0,0.05,0.15,0.15,1.13,0.09,0.09,1.21,0.08,0.08,F9V,4.2,3.8,3.8,6035.0,100.0,100.0,,,
CoRoT-15 b,Confirmed,63.4,4.1,4.3,63.3,4.0,4.0,1.12,0.15,0.3,3.06036,3e-05,3e-05,0.045,0.01,0.014,0.0,,,86.7,3.2,2.3,,2010,2015-09-23,,,,,,,,,,2454753.5608,0.0011,0.0011,,,,,,,0.38,0.26,0.26,,,,7.36,0.11,0.11,1740.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-15,97.116666676,6.18624167266,,,,,,,,,,,,,,,,,,F7V,,,,,,,,,2MASS J06282781+0611105
CoRoT-16 b,Confirmed,0.535,0.085,0.085,,,,1.17,0.14,0.14,5.35227,0.0002,0.0002,0.0618,0.0015,0.0015,0.33,0.1,0.1,85.01,1.2,1.2,7.4e-05,2010,2014-01-24,168.41,21.0,21.0,,,,,,,2454923.9138,0.0022,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-16,278.525,-6.0025,15.64,,,,,840.0,90.0,90.0,0.19,0.06,0.06,1.098,0.078,0.078,1.19,0.14,0.14,G5V,6.73,2.8,2.8,5650.0,100.0,100.0,,,
CoRoT-17 b,Confirmed,2.43,0.16,0.16,,,,1.02,0.07,0.07,3.768125,0.000257,0.000257,0.0461,0.0008,0.0008,0.0,,,88.34,1.54,1.54,5e-05,2010,2014-01-24,,,,,,,,,,2454923.3093,0.003613,0.003613,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-17,278.6958333,-6.6122222,15.46,,,,,920.0,50.0,50.0,0.0,0.1,0.1,1.04,0.1,0.1,1.59,0.07,0.07,G2V,10.7,1.0,1.0,5740.0,80.0,80.0,,,
CoRoT-18 b,Confirmed,3.47,0.38,0.38,,,,1.31,0.18,0.18,1.9000693,2.8e-06,2.8e-06,0.0295,0.0016,0.0016,0.08,inf,nan,86.5,0.9,0.9,3.4e-05,2011,2014-01-24,,,,,,,,,,2455321.72412,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-18,98.170833347,0.031388901,14.99,,,,,870.0,90.0,90.0,-0.1,0.1,0.1,0.95,0.15,0.15,1.0,0.13,0.13,G9V,,,,5440.0,100.0,100.0,,,
CoRoT-19 b,Confirmed,1.11,0.06,0.06,,,,1.29,0.05,0.05,3.89713,2e-05,2e-05,0.0518,0.0008,0.0008,0.047,0.045,0.045,87.61,0.37,0.37,6.5e-05,2011,2014-01-24,86.0,60.0,60.0,,,,,,,2455257.44102,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-19,97.033333336,0.170555562,14.78,,,,,800.0,200.0,200.0,-0.02,0.1,0.1,1.21,0.06,0.06,1.65,0.04,0.04,F9V,5.0,1.0,1.0,6090.0,70.0,70.0,,,
CoRoT-2 b,Confirmed,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.7e-06,1.7e-06,0.0281,0.0009,0.0009,0.0,,,87.84,0.1,0.1,9.4e-05,2007,2014-01-25,,,,,,,,,,2454706.4041,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300.0,100.0,100.0,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018,0.018,G7V,,,,5575.0,66.0,66.0,,,
CoRoT-20 b,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0.0,0.0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.3e-05,2011,2014-07-10,56.3,2.4,2.4,,,,,,,2455266.0001,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230.0,120.0,120.0,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880.0,90.0,90.0,,,
CoRoT-21 b,Confirmed,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0.0,,,86.8,2.1,2.1,,2011,2014-01-24,,,,,,,,,,2454399.0282,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16.0,,,,,,,,0.0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,F8IV,4.1,0.5,0.5,6200.0,100.0,100.0,,,
CoRoT-23 b,Confirmed,2.8,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8e-05,2011,2014-01-25,51.8,9.0,9.0,,,,,,,2455308.93732,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600.0,50.0,50.0,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,G0V,7.2,1.0,1.0,5900.0,100.0,100.0,,,
CoRoT-25 b,Confirmed,0.27,0.04,0.04,,,,1.08,0.1,0.3,4.86069,6e-05,6e-05,0.0578,0.0029,0.0029,,,,84.5,0.8,0.3,,2012,2014-05-21,,,,,,,,,,2454577.4307,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-25,280.6292,6.5139,15.0,,,,,1000.0,85.0,25.0,-0.01,0.13,0.13,1.09,0.05,0.11,1.19,0.03,0.14,G0V,5.2,1.3,1.3,6040.0,90.0,90.0,,,
CoRoT-26 b,Confirmed,0.52,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5e-05,5e-05,0.0526,0.001,0.001,0.0,,,86.8,1.0,2.2,,2012,2014-05-27,,,,,,,,,,2454574.6811,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670.0,205.0,110.0,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,G8IV,8.6,1.8,0.9,5590.0,100.0,100.0,,,
CoRoT-27 b,Confirmed,10.39,0.55,0.55,,,,1.007,0.044,0.044,3.57532,6e-05,6e-05,0.0476,0.0066,0.0066,0.065,0.065,0.0,86.7,0.87,1.2,,2012,2014-07-10,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,G2,4.21,2.72,2.72,5900.0,120.0,120.0,,,
CoRoT-28 b,Confirmed,,,,0.484,0.087,0.087,0.955,0.066,0.066,5.20851,0.00038,0.00038,0.059,0.0027,0.0027,0.047,0.038,0.055,,,,,2012,2015-08-17,126.0,61.0,140.0,,,,,,,2455755.8466,0.0029,0.0029,,,,,,,0.24,0.09,0.09,,,,56.4,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-28,278.6875,5.5739,13.49,,,,,560.0,70.0,70.0,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,G8/9IV,12.0,1.5,1.5,5150.0,100.0,100.0,,,
CoRoT-29 b,Confirmed,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6e-06,6e-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,,2012,2015-04-27,87.0,210.0,49.0,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765.0,50.0,50.0,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,KOV,4.5,3.5,3.5,5260.0,100.0,100.0,,,
CoRoT-3 b,Confirmed,21.66,1.0,1.0,,,,1.19,0.1,0.1,4.2567994,5e-06,5e-06,0.057,0.003,0.003,0.0,,,85.9,0.8,0.8,8.4e-05,2008,2018-08-15,,,,,,,,,,2454283.1383,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680.0,160.0,160.0,0.14,0.04,0.04,1.41,0.08,0.08,1.44,0.08,0.08,F3V,2.0,0.4,0.4,6558.0,44.0,44.0,,,
CoRoT-30 b,Confirmed,2.9,0.22,0.22,,,,1.009,0.076,0.076,9.06005,0.00024,0.00024,0.0844,0.0012,0.0012,0.007,0.031,0.031,90.0,0.56,0.56,,2017,2019-09-02,178.1,100.0,100.0,,,,,,,2455665.5146,0.0012,0.0012,,,,,,,0.0,0.16,0.16,,,,283.0,20.0,20.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-30,277.600000008,6.835833352,15.65,,,,,960.0,40.0,68.0,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,G3V,3.0,2.4,3.7,5660.0,90.0,10.0,,,
CoRoT-31 b,Confirmed,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.16,0.16,83.2,2.3,2.3,,2017,2019-09-02,303.6,107.9,107.9,,,,,,,2455843.9445,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88.0,35.0,35.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.820833339,-4.422222235,15.7,,,,,2190.0,710.0,710.0,0.0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370.0,126.0,99.0,,,
CoRoT-32 b,Confirmed,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.71837,1e-05,1e-05,0.071,0.001,0.001,,,,89.0,0.5,0.5,,2017,2017-09-13,,,,,,,,,,2455901.811,0.002,0.002,,,,,,,,,,,,,,,,938.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.195833349,9.257500011,14.0,,,,,,,,0.0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970.0,100.0,100.0,,,CoRoT-223977153
CoRoT-33 b,Confirmed,59.2,1.8,1.8,59.0,1.8,1.8,1.1,0.53,0.53,5.819143,1.8e-05,1.8e-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015,2015-08-25,179.3,0.87,0.87,,,,,,,2456676.3992,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.641666678,5.624722241,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0.0,5.0,5225.0,80.0,80.0,,,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694"
CoRoT-4 b,Confirmed,0.72,0.08,0.08,,,,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0.0,0.0,0.0,90.0,0.085,0.085,,2008,2013-06-05,,,,,,,,,,2454141.36416,0.00089,0.00089,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,F8V,1.0,0.3,0.3,6190.0,60.0,60.0,,,
CoRoT-5 b,Confirmed,0.467,0.024,0.047,,,,1.33,0.047,0.047,4.0378962,1.9e-06,1.9e-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008,2014-05-22,231.7,48.0,48.0,,,,,,,2454400.19885,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-5,101.2791667,0.8152778,14.0,,,,,400.0,0.0,0.0,-0.25,0.06,0.06,1.0,0.02,0.02,1.186,0.04,0.04,F9V,6.9,1.4,1.4,6100.0,65.0,65.0,,,
CoRoT-6 b,Confirmed,2.96,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4e-06,4e-06,0.0855,0.0015,0.0015,0.1,inf,nan,89.07,0.3,0.3,,2009,2013-06-05,,,,2454595.6144,0.0002,0.0002,,,,2454702.2556,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,F9V,,,,6090.0,70.0,70.0,,,
CoRoT-8 b,Confirmed,0.2158,0.034,0.034,,,,0.5692,0.0196,0.0196,6.21229,3e-05,3e-05,0.063,0.001,0.001,0.0,,,88.4,0.1,0.1,0.000166,2010,2018-11-20,,,,,,,,,,2454238.9743,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380.0,100.0,100.0,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,K1V,3.0,inf,nan,5080.0,80.0,80.0,,,
DS Tuc A b,Confirmed,0.088,0.041,0.11,,,,0.5085,0.0152,0.0152,8.138268,1e-05,1e-05,0.0795,0.003,0.003,,,,89.5,0.34,0.41,,2019,2020-06-06,,,,,,,,,,2458832.30997,0.00026,0.00026,,,,,,,0.4,0.08,0.07,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"HD 222259 A b, TIC 4102214986 b",,DS Tuc A,354.91666668,-69.195833347,9.0,,,,,44.12,0.06,0.06,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,G6V,0.04,5.0,5.0,5597.0,59.0,28.0,,,
EPIC 206061524 b,Confirmed,,,,,,,0.978,0.02,0.024,5.8797,0.0015,0.0018,0.0563,0.004,0.004,,,,86.2,0.4,0.4,,2016,2019-07-01,,,,,,,,,,2456986.3239,0.0006,0.0006,,,,,,,0.8,0.03,0.03,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,2MASS J22201376-1306526 b,,EPIC 206061524,335.057352206,-13.1146261536,,,12.4,11.8,11.6,284.84,4.43,4.43,,,,,,,,,,,,,,,,,,,2MASS J22201376-1306526
EPIC 212036875 b,Confirmed,51.0,2.0,2.0,,,,0.83,0.03,0.03,5.16992,2e-05,2e-05,0.0621,0.002,0.0016,0.134,0.002,0.002,83.9,0.2,0.2,,2019,2019-08-08,163.0,1.0,1.0,2458130.538,0.065,0.068,,,,2458129.69869,0.00015,0.00015,,,,,,,0.92,0.005,0.005,,,,5289.0,13.0,13.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 212036875 b,,EPIC 212036875,134.691666682,20.869166686,11.0,,,,,,,,-0.23,0.1,0.1,1.1241,0.11,0.1,1.4,0.06,0.06,,4.6,1.9,2.6,6231.0,50.0,50.0,,,EP212
EPIC 219388192 b,Confirmed,36.0,1.6,1.6,,,,0.846,0.021,0.021,5.292569,2.6e-05,2.6e-05,0.0593,0.0013,0.0013,0.1893,0.0021,0.0021,89.63,0.38,0.26,,2016,2019-03-11,346.0,1.3,1.3,2457339.826,0.019,0.019,,,,2457341.037008,8.1e-05,8.1e-05,1.0,,,,,,0.091,0.09,0.063,,,,4268.0,18.0,18.0,1164.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,CWW 89A b,,EPIC 219388192,289.391666678,-16.871666688,12.5,,,,,300.0,24.0,24.0,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G,3.9,1.9,1.9,5850.0,85.0,85.0,,,"2MASS J19173402-1652177, CWW 89A"
EPIC 246851721 b,Confirmed,3.0,1.2,1.1,3.0,1.2,1.1,1.051,0.044,0.044,6.180235,1.4e-05,1.4e-05,0.07229,0.00075,0.00074,,,,86.21,0.17,0.17,,2018,2021-03-20,,,,2457858.93009,0.0001,0.0001,,,,2457865.11032,0.0001,0.0001,,,,358.53,0.86,0.87,0.647,0.018,0.017,,,,270.0,110.0,100.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 246851721,78.9197500136,16.2787416817,11.4,,,,,376.0,18.0,18.0,0.139,0.084,0.082,1.324,0.04,0.04,1.624,0.035,0.036,F5V,3.09,0.41,0.42,6189.0,52.0,47.0,,,"TYC 1283-739-1, 2MASS J05154075+1616435"
GJ 674 b,Confirmed,,,,0.04,,,1.13,,,4.6944,0.00182591,0.00182591,0.039,,,0.07,0.0766,0.07,,,,0.00859,2007,2019-06-13,0.5,71.2,71.2,2453823.784,,,,,,,,,,,,,,,,,,,,,9.46,1.09,1.09,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,GJ 674,262.1666667,-46.8952778,9.38,,,,,4.54,0.03,0.03,-0.28,,,0.35,,,,,,M2.5,0.55,0.45,0.45,3600.0,100.0,100.0,,,
GPX-1 b,Confirmed,19.7,1.6,1.6,,,,1.47,0.16,0.16,1.744579,8e-06,8e-06,0.0338,0.0003,0.0003,0.0,,,79.9,0.7,0.7,,2020,2020-09-28,,,,,,,,,,2458770.23823,0.0004,0.0004,,,,,,,,,,,,,2310.0,180.0,180.0,2300.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GPX-1,38.370833343,56.025833341,11.3,,,,,,,,0.35,0.1,0.1,1.68,0.1,0.1,1.56,0.1,0.1,,0.27,0.15,0.09,7000.0,200.0,200.0,,,
HAT-P-1 b,Confirmed,0.525,0.019,0.019,,,,1.319,0.019,0.019,4.46529976,5.5e-07,5.5e-07,0.05561,0.00083,0.00083,0.067,inf,nan,85.634,0.056,0.056,0.000398,2006,2015-04-30,360.0,,,,,,,,,2453979.93202,0.00024,0.00024,,,,,,,,,,,,,,,,1322.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,"C, H2O, K, O I",HAT-P-1,344.4458333,38.675,10.4,,,,,139.0,20.0,20.0,0.13,0.008,0.008,1.151,0.052,0.052,1.174,0.03,0.03,GOV,3.6,,,5980.0,49.0,49.0,,,
HAT-P-10 A b,Confirmed,0.46,0.028,0.028,,,,1.045,0.033,0.033,3.722469,6.7e-06,6.7e-06,0.0439,0.0009,0.0009,0.0,,,89.8,0.1,0.1,0.000351,2008,2019-12-13,,,,,,,,,,2456308.2356,0.000107,0.000107,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,"WASP-11 b, HAT-P-10 b",,HAT-P-10 A,47.3708333,30.6736111,11.89,,,,,125.0,5.0,5.0,0.13,0.08,0.08,0.82,0.03,0.03,0.81,0.02,0.02,K3V,11.2,4.1,4.1,4980.0,60.0,60.0,,,"WASP-11, HAT-P-10, WASP-11 A"
HAT-P-12 b,Confirmed,0.210489884529,0.01318314822389,0.01318314822389,,,,0.954591764817,0.02051926223439,2.85485387608864,3.2130598,2.1e-06,2.1e-06,0.0384,0.0003,0.0003,0.0,,,,,,0.000269,2009,2018-12-10,,,,,,,,,,2454419.19556,0.0002,0.0002,,,,,,,,,,,,,,,,,,,1000.0,,,,,,Submitted to a professional journal,Primary Transit,,,,Na,HAT-P-12,209.3916667,43.4936111,12.84,,,,,142.5,3.3,3.3,-0.29,0.05,0.05,0.73,0.02,0.02,0.7,0.01,0.01,,2.5,2.0,2.0,4650.0,60.0,60.0,,,
HAT-P-13 b,Confirmed,0.85,0.038,0.038,,,,1.28,0.079,0.079,2.916243,3e-06,3e-06,0.0426,0.0012,0.0012,0.0142,0.0044,0.0044,83.3,0.62,0.62,0.000199,2009,2017-01-05,223.0,38.0,38.0,,,,,,,2455176.5388,0.00034,0.00034,2454779.93106,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214.0,12.0,12.0,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5.0,0.8,0.8,5638.0,90.0,90.0,,,
HAT-P-14 b,Confirmed,2.2,0.04,0.04,,,,1.2,0.04,0.04,4.627657,5e-06,5e-06,0.0594,0.0004,0.0004,0.095,0.011,0.011,83.2,0.2,0.2,0.00029,2010,2017-01-17,99.0,4.0,4.0,,,,,,,2455134.43856,0.00027,0.00027,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,WASP-27 b,,HAT-P-14,260.1166667,38.2422222,9.98,,,,,205.0,11.0,11.0,0.11,0.08,0.08,1.386,0.045,0.045,1.468,0.054,0.054,F,1.3,0.4,0.4,6600.0,90.0,90.0,,,
HAT-P-15 b,Confirmed,1.946,0.066,0.066,,,,1.072,0.043,0.043,10.863502,27.0,27.0,0.0964,0.0014,0.0014,0.19,0.019,0.019,89.1,0.2,0.2,0.000507,2010,2018-12-17,262.0,1.0,1.0,,,,,,,2454638.56019,0.00048,0.00048,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-15,66.25,39.4605556,12.16,,,,,190.0,8.0,8.0,0.22,0.08,0.08,1.013,0.043,0.043,1.08,0.043,0.043,G5,6.8,1.6,1.6,5568.0,90.0,90.0,,,
