name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
K2-271 b,Confirmed,,,,,,,0.649,0.021,0.021,8.562421,0.000127,0.000127,0.077,0.0009,0.0008,,,,,,,,2018,2021-02-05,,,,,,,2457149.71271,0.00053,0.00053,,,,,,,,,,0.3,0.2,0.21,,,,,,,893.0,17.0,17.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J08205372+1605274 b, EPIC 211713099 b, EPIC 211713099.01, WISE J082053.73+160527.0 b",,K2-271,125.223885,16.090946,,,12.555,12.203,,571.47,13.59,13.59,-0.3,0.05,0.05,0.83,0.03,0.03,0.99,0.03,0.03,,,,,5644.0,71.0,71.0,,,"2MASS J08205372+1605274, EPIC 211713099, WISE J082053.73+160527.0"
K2-281 b,Confirmed,,,,,,,0.73,0.019,0.019,8.687721,0.00015,0.000151,0.0773,0.0008,0.0008,,,,,,,,2018,2021-02-05,,,,,,,2457393.88208,0.00071,0.00073,,,,,,,,,,0.23,0.16,0.2,,,,,,,665.0,12.0,12.0,,,,,,,Published in a refereed paper,Primary Transit,,,"2MASS J01045457+0716093 b, EPIC 220522262 b, EPIC 220522262.01, WISE J010454.58+071609.2 b",,K2-281,16.22735,7.269234,,,13.195,12.626,,466.11,7.25,7.25,0.22,0.05,0.05,0.82,0.03,0.03,0.76,0.01,0.01,,,,,4812.0,72.0,72.0,,,"2MASS J01045457+0716093, EPIC 220522262, WISE J010454.58+071609.2"
K2-29 b,Confirmed,0.73,0.04,0.04,0.73,0.04,0.04,1.19,0.02,0.02,3.2588321,1.9e-06,1.9e-06,0.04217,0.00024,0.00024,0.066,0.022,0.022,86.656,0.08,0.11,,2016,2021-02-05,132.0,21.0,21.0,,,,2453219.0095,0.0022,0.0022,2453219.0095,0.0022,0.0022,,,,1.5,8.7,8.7,0.58,0.02,0.02,,,,103.5,5.4,5.4,1171.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211089792 b, WASP-152 b, 1SWASP J041040.95+242407.3 b, 2MASS J04104086+2424061 b, EPIC 211089792 A b, EPIC 211089792.01, K2-29 A b, TYC 1818-1428-1 b, WISE J041040.88+242405.9 b",,K2-29,62.670647,24.402042,,,10.622,10.168,,179.39,1.31,1.31,0.16,0.03,0.03,0.94,0.02,0.02,0.86,0.01,0.01,G7 V,2.6,-1.2,1.2,5358.0,38.0,38.0,,,"WASP-152, EPIC 211089792, 1SWASP J041040.95+242407.3, 2MASS J04104086+2424061, EPIC 211089792 A, K2-29 A, TYC 1818-1428-1, WISE J041040.88+242405.9"
K2-295 b,Confirmed,0.335,0.062,0.062,,,,0.897,0.005,0.011,4.024867,1.5e-05,1.5e-05,0.0451,0.0014,0.0006,0.0,,,89.3,0.62,0.46,,2018,2021-02-05,,,,,,,2457395.41405,1e-06,1e-06,2457395.4140458,1.9e-06,1.9e-06,,,,,,,0.17,0.11,0.14,,,,54.0,10.0,10.0,852.0,6.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J01182635+0649004 b, EPIC 220501947 b, EPIC 220501947.01, WISE J011826.41+064900.3 b",,K2-295,19.6099,6.816871,13.95,,11.807,11.259,,225.7,2.4,2.4,0.14,0.12,0.12,0.74,0.04,0.04,0.7,0.02,0.02,K5 V,,,,4444.0,70.0,70.0,,,"2MASS 01182635+0649004, 2MASS J01182635+0649004, EPIC 220501947, WISE J011826.41+064900.3"
K2-30 b,Confirmed,0.579,0.027,0.028,0.623,0.031,0.031,1.039,0.051,0.05,4.098503,1.1e-05,1.1e-05,0.04839,0.00076,0.00076,0.0,,,86.92,0.24,0.26,,2016,2021-02-05,120.0,51.0,100.0,,,,2457063.80714,0.0001,0.0001,2457063.8071,0.00027,0.00027,,,,,,,0.662,0.036,0.03,,,,78.7,2.8,2.9,1092.0,20.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03292204+2217577 b, EPIC 210957318 b, EPIC 210957318.01, WISE J032922.08+221757.7 b",,K2-30,52.341961,22.299404,13.5,,11.632,11.19,,336.26,3.03,3.03,-0.15,0.05,0.05,0.9,0.04,0.04,0.84,0.03,0.03,G6 V,3.9,-1.9,2.1,5425.0,40.0,40.0,,,"2MASS J03292204+2217577, EPIC 210957318, WISE J032922.08+221757.7"
K2-308 b,Confirmed,0.025,0.0,0.0249,,,,0.884,0.087,0.087,3.38628,2e-05,2e-05,,,,,,,88.44,1.94,1.09,,2019,2021-02-05,,,,,,,2457823.2233,0.0006,0.0006,2457823.2233,0.0006,0.0006,,,,,,,0.21,0.15,0.23,,,,250.0,250.0,250.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 246865365 b, 2MASS J05132138+1624510 b, WISE J051321.40+162451.1 b",,K2-308,78.339134,16.414202,15.0,,13.657,13.346,,,,,-0.1,0.08,0.08,1.09,0.09,0.09,1.24,0.1,0.1,,,,,6100.0,263.0,263.0,,,"EPIC 246865365, 2MASS J05132138+1624510, WISE J051321.40+162451.1"
K2-31 b,Confirmed,1.774,0.079,0.079,,,,1.06,0.35,0.35,1.25785,2e-06,2e-06,0.022,0.0018,0.0018,0.0,,,79.9,0.8,0.8,,2016,2021-02-05,,,,,,,2457191.70889,0.00024,0.00024,2457191.70889,0.00024,0.00024,,,,,,,0.975,0.075,0.075,,,,350.9,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 204129699 b, 2MASS J16214578-2332520 b, EPIC 204129699.01, K2-31 A b, TYC 6794-00471-1 b, WISE J162145.75-233253.2 b",,K2-31 ,245.440837515,-23.547866689,10.8,,,,,,,,0.08,0.05,0.05,0.91,0.06,0.06,0.78,0.07,0.07,G7V,,,,5280.0,70.0,70.0,,,"EPIC 204129699, TYC 6794-471-1, 2MASS 16214578-2332520"
K2-34 b,Confirmed,1.78,0.13,0.13,1.76,0.13,0.13,1.245,0.029,0.029,2.995633,8e-06,8e-06,0.0426,0.0005,0.0005,0.0,,,82.06,0.51,0.51,,2016,2021-02-05,,,,,,,2457144.34683,0.0001,0.0001,2457141.35132,0.00022,0.00022,,,,,,,0.81,0.01,0.01,,,,209.0,12.0,12.0,1559.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J08301891+2214092 b, EPIC 212110888 b, EPIC 212110888.01, TYC 1391-121-1 b, WISE J083018.89+221409.2 b",,K2-34,127.578773,22.235909,11.5,,10.528,10.258,,352.34,6.25,6.25,0.03,0.05,0.05,1.15,0.04,0.04,1.44,0.03,0.03,F9 V,,,,6071.0,90.0,90.0,,,"2MASS J08301891+2214092, EPIC 212110888, TYC 1391-121-1, WISE J083018.89+221409.2"
K2-39 b,Confirmed,0.09,0.05,0.05,,,,0.56,0.15,0.15,4.60543,0.00046,0.00046,0.062,0.012,0.01,0.0,,,80.39,4.19,4.19,,2016,2021-02-05,,,,,,,,,,2456980.8236,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,14.4,2.6,2.6,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J22332842-0901219 b, EPIC 206247743 b, EPIC 206247743.01, TYC 5811-00835-1 b, WISE J223328.38-090122.4 b",,K2-39,338.368378,-9.022769,10.83,,9.082,8.594,,310.14,4.7,4.7,0.32,0.04,0.04,0.66,0.56,0.56,2.97,0.77,0.77,,3.09,0.7,0.92,4881.0,20.0,20.0,,,"2MASS J22332842-0901219, EPIC 206247743, TYC 5811-835-1, WISE J223328.38-090122.4"
K2-45 b,Confirmed,,,,,,,0.599,0.0,0.0,1.7292684,6.9e-06,6.9e-06,0.0224,0.0012,0.0012,,,,,,,,2016,2021-02-05,,,,,,,2456809.52604,0.00018,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,EPIC 201345483.01,,K2-45,169.632874,-1.77413,,,13.536,12.92,,502.34,10.77,10.77,,,,0.5,0.08,0.08,0.45,0.07,0.07,,,,,4103.0,90.0,90.0,,,"2MASS J11183189-0146270, EPIC 201345483, WISE J111831.86-014626.6"
K2-52 b,Confirmed,0.4046,,,,,,1.606,0.196,0.196,3.535055,1.6e-05,1.7e-05,0.054,0.002,0.002,,,,86.46,1.9,2.0,,2016,2021-02-05,,,,,,,2456896.02618,0.00111,0.00108,2456890.02618,0.0011,0.00108,,,,,,,0.32,0.14,0.18,,,,,,,2004.0,184.0,184.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 203776696.01,,K2-52,246.61142,-24.969948,,,12.729,12.126,,1041.7,104.0,132.7,0.055,0.14,0.154,1.69,0.14,0.16,2.19,0.23,0.28,,,,,7147.0,500.0,500.0,,,"2MASS J16262672-2458119, EPIC 203776696, WISE J162626.73-245811.8"
K2-60 b,Confirmed,0.426,0.037,0.037,,,,0.683,0.037,0.037,3.00265,4e-05,4e-05,0.045,0.003,0.003,0.0,,,88.49,0.96,0.96,,2016,2021-02-05,,,,,,,2456928.0593,0.0007,0.0007,2456928.0593,0.0007,0.0007,,,,,,,0.21,0.13,0.13,,,,61.0,2.6,2.6,1400.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 206038483.01,,K2-60,338.606171,-13.731702,,,11.41,11.085,10.99,498.7,11.44,11.44,0.01,0.11,0.11,0.97,0.07,0.07,1.12,0.05,0.05,G4 V,10.0,3.0,3.0,5500.0,100.0,100.0,,,"2MASS 22342548-134351, EPIC 22342548-13435, 2MASS J22342548-1343541, EPIC 206038483, WISE J223425.49-134354.3"
K2-87 b,Confirmed,0.1192,0.04,0.04,,,,0.678,0.036,0.036,9.726618,5.5e-05,5.5e-05,0.094,0.001,0.001,,,,87.74,0.17,0.17,,2016,2021-02-05,,,,,,,2457072.30232,0.00171,0.00171,2457072.30232,0.00171,0.00171,,,,,,,0.57,0.03,0.03,,,,,,,979.0,28.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,EPIC 210731500.01,,K2-87,66.236221,18.827417,,,11.811,11.359,,503.6,22.0,30.0,0.328,0.045,0.051,1.16,0.04,0.04,1.4,0.062,0.083,,,,,5747.0,49.0,58.0,,,"2MASS J04245669+1849387, EPIC 210731500, WISE J042456.71+184938.6"
K2-97 b,Confirmed,1.1,0.11,0.11,,,,0.947,0.085,0.085,8.406726,0.001827,0.001863,0.086,0.0011,0.0011,,,,,,,,2016,2021-02-05,,,,,,,2457142.04977,0.00854,0.00888,,,,,,,,,,0.44,0.3,0.33,,,,,,,1499.0,39.0,39.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"EPIC 211351816 b, 2MASS 08310308+1050513 b, 2MASS J08310308+1050513 b, EPIC 211351816.01, WISE J083103.08+105051.2 b",,K2-97,127.762833,10.847586,,,10.694,10.177,,869.76,31.37,31.37,0.33,0.04,0.04,1.2,0.05,0.05,4.47,0.18,0.18,,7.8,2.0,2.0,4717.0,73.0,73.0,,,"EPIC 211351816, 2MASS J08310308+1050513, WISE J083103.08+105051.2"
