# wavelength (nm), throughput
464.3999939,0.056004125
464.5,0.058101241
464.6000061,0.059972888
464.7000122,0.061596387
464.7999878,0.062944845
464.8999939,0.064002141
465,0.064713226
465.1000061,0.065085894
465.2000122,0.065115388
465.2999878,0.064795262
465.3999939,0.064121459
465.5,0.063096996
465.6000061,0.061728672
465.7000122,0.060026229
465.7999878,0.058008455
465.8999939,0.055691738
466,0.053104858
466.1000061,0.050289819
466.2000122,0.047264376
466.2999878,0.044097627
466.3999939,0.040763076
466.5,0.037334278
466.6000061,0.033855272
466.7000122,0.030368411
466.7999878,0.026919865
466.8999939,0.0260165
467,0.032173967
467.1000061,0.035005598
467.2000122,0.037880268
467.2999878,0.040754668
467.3999939,0.04360551
467.5,0.046405434
467.6000061,0.049127012
467.7000122,0.05174117
467.7999878,0.054219912
467.8999939,0.056535742
468,0.058661027
468.1000061,0.060584526
468.2000122,0.062287537
468.2999878,0.063727635
468.3999939,0.064882957
468.5,0.065735339
468.6000061,0.066267278
468.7000122,0.066468521
468.7999878,0.066327524
468.8999939,0.065839825
469,0.065003803
469.1000061,0.063830962
469.2000122,0.062310511
469.2999878,0.060467509
469.3999939,0.058316089
469.5,0.05588064
469.6000061,0.053186669
469.7000122,0.050264069
469.7999878,0.04714757
469.8999939,0.043869016
470,0.040473161
470.1000061,0.037040059
470.2000122,0.033534114
470.2999878,0.030033342
470.3999939,0.026580745
470.5,0.030538794
470.6000061,0.033376568
470.7000122,0.036260587
470.7999878,0.039168124
470.8999939,0.042045896
471,0.044927588
471.1000061,0.047734979
471.2000122,0.050462276
471.2999878,0.053080572
471.3999939,0.0557191
471.5,0.058043738
471.6000061,0.06017756
471.7000122,0.062097581
471.7999878,0.063775945
471.8999939,0.065195145
472,0.066320483
472.1000061,0.067194258
472.2000122,0.067750686
472.2999878,0.067978003
472.3999939,0.067865887
472.5,0.067408606
472.6000061,0.06660536
472.7000122,0.065458216
472.7999878,0.063975288
472.8999939,0.062168152
473,0.060076578
473.1000061,0.057659196
473.2000122,0.054980229
473.2999878,0.052070098
473.3999939,0.04895861
473.5,0.045680938
473.6000061,0.04227486
473.7000122,0.038783132
473.7999878,0.035246609
473.8999939,0.031703451
474,0.028232186
474.1000061,0.024793778
474.2000122,0.033075757
474.2999878,0.035932354
474.3999939,0.038816735
474.5,0.041705553
474.6000061,0.044548464
474.7000122,0.047375049
474.7999878,0.050130985
474.8999939,0.052793655
475,0.055338308
475.1000061,0.057781749
475.2000122,0.060053764
475.2999878,0.062129026
475.3999939,0.063983593
475.5,0.06559457
475.6000061,0.066925836
475.7000122,0.067987587
475.7999878,0.068744374
475.8999939,0.069184784
476,0.06929499
476.1000061,0.06904324
476.2000122,0.068449958
476.2999878,0.067515953
476.3999939,0.066244798
476.5,0.064644556
476.6000061,0.06275075
476.7000122,0.06053955
476.7999878,0.05805128
476.8999939,0.055310502
477,0.052344748
477.1000061,0.049170177
477.2000122,0.045841437
477.2999878,0.042394893
477.3999939,0.038870995
477.5,0.035309434
477.6000061,0.031751796
477.7000122,0.028272995
477.7999878,0.028612133
477.8999939,0.033944458
478,0.036817987
478.1000061,0.039727081
